Tag_Number,DBH_2019,DBH_2022,Species Co,LatinName,Species _1,Hazard_Rat,Sun,Hazard
1260,51.5,51,ACPL,Acer platanoides,Norway Maple,Some distress,Partial,0
1262,7.4,13.2,MA55,Malus spp.,Crab Apple,Healthy,Partial,0
1263,35.7,36.7,JUNI,Juglans nigra,Black Walnut,Some distress,Partial,0
1264,7,14.9,MA56,Malus spp.,Crab Apple,Healthy,Partial,0
1266,56.7,57.3,CEOC,Celtis occidentalis,Northern Hackberry,Healthy,Partial,1
1267,21.5,21.7,ACPL,Acer platanoides,Norway Maple,Healthy,Sun,1
1268,34.1,35.6,TICO,Tilia cordata,Little Leaf Linden,Healthy,Partial,1
1269,39.6,40.2,MA57,Malus spp.,Crab Apple,Healthy,Partial,0
1270,46.1,40.8,MA58,Malus spp.,Crab Apple,Healthy,Partial,0
1271,44.5,55.6,MA59,Malus spp.,Crab Apple,Healthy,Partial,0
1272,49.7,51.1,PSME,Pseudotsuga menziesii,Douglas-fir,Healthy,Sun,1
1273,44.5,44.7,ACSA8,Acer saccharum,Sugar Maple,Some distress,Partial,0
1274,38.3,39.2,ACSA9,Acer saccharum,Sugar Maple,Healthy,Partial,0
1275,93,94.6,JUNI,Juglans nigra,Black Walnut,Extreme distress,Partial,0
1276,87.4,85.5,AIAL,Ailanthus altissima,Tree of Heaven,Healthy,Sun,1
1279,109.8,113.8,TIAM,Tilia americana,American Basswood,Healthy,Partial,0
1280,32.5,33.4,JUNI,Juglans nigra,Black Walnut,Extreme distress,Partial,0
1282,57.2,58.5,JUNI,Juglans nigra,Black Walnut,Healthy,Partial,0
1283,40.6,42,QUAL,Quercus alba,White Oak,Some distress,Partial,0
1284,29.2,29.2,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
1285,60.6,61.8,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
1286,25.3,27.8,ACSA10,Acer saccharum,Sugar Maple,Healthy,Partial,0
1287,18.3,18.4,PISY,Pinus sylvestris,Scotch Pine,Healthy,Partial,1
1289,9.2,9.7,ACPL,Acer platanoides,Norway Maple,Healthy,Sun,0
1290,15.4,15.9,ACPL,Acer platanoides,Norway Maple,Healthy,Sun,0
1292,33.5,35,TICO,Tilia cordata,Little Leaf Linden,Healthy,Partial,0
1293,,13,,,,Healthy,,
1296,4.8,16.4,ACRU,Acer rubrum,Red Maple,Healthy,Sun,0
1297,16,19.8,BENI,Betula nigra,River birch,Healthy,Partial,0
1300,37,73,PRSE18,Prunus serotina,Black Cherry,Healthy,Partial,0
1311,14.5,17.5,ACGR,Acer griseum,Paperbark Maple,Healthy,Sun,0
1312,17.5,21.2,ACGR,Acer griseum,Paperbark Maple,Healthy,Sun,0
1313,12.3,35.6,ACGR,Acer griseum,Paperbark Maple,Healthy,Sun,0
1314,15.9,28.5,ACGR,Acer griseum,Paperbark Maple,Healthy,Partial,0
1316,55.8,54.3,BENI,Betula nigra,River birch,Healthy,Partial,0
1317,53.7,64.7,BENI,Betula nigra,River birch,Healthy,Partial,0
1319,12.5,13.3,ABFR,Abies fraseri,Fraser Fir,Healthy,Partial,0
1320,40.9,42.8,ROPS,Robinia pseudoacacia,Black Locust,Healthy,Partial,0
1321,48.8,50,ROPS,Robinia pseudoacacia,Black Locust,Healthy,Partial,0
1322,51.3,53.5,ROPS,Robinia pseudoacacia,Black Locust,Healthy,Partial,0
1323,33.5,35.8,ROPS,Robinia pseudoacacia,Black Locust,Healthy,Partial,0
1324,13,14.2,ABFR,Abies fraseri,Fraser Fir,Some distress,Partial,0
1326,14,16.4,ABFR,Abies fraseri,Fraser Fir,Healthy,Partial,0
1328,17,18.9,ABFR,Abies fraseri,Fraser Fir,Healthy,Sun,0
1329,13.8,14.6,ABFR,Abies fraseri,Fraser Fir,Healthy,Partial,0
1330,16.3,16.3,ABFR,Abies fraseri,Fraser Fir,Healthy,Partial,0
1331,14,15.3,ABFR,Abies fraseri,Fraser Fir,Healthy,Partial,1
1332,13,12.9,ABFR,Abies fraseri,Fraser Fir,Healthy,Partial,2
1333,7.4,7.2,ABFR,Abies fraseri,Fraser Fir,Healthy,Partial,1
1334,11.5,11.8,ABFR,Abies fraseri,Fraser Fir,Some distress,Partial,2
1335,48.4,48,BENI,Betula nigra,River birch,Healthy,Partial,0
1336,53.1,58.5,BENI,Betula nigra,River birch,Healthy,Partial,0
1337,72.6,87,BENI,Betula nigra,River birch,Healthy,Partial,0
1341,37.4,37.2,PIST,Pinus strobus,Eastern White Pine,Healthy,Partial,0
1342,32,33,PIST,Pinus strobus,Eastern White Pine,Healthy,Partial,0
1343,44.1,46.5,PIST,Pinus strobus,Eastern White Pine,Healthy,Partial,0
1345,21.6,23.7,ACPL,Acer platanoides,Norway Maple,Extreme distress,Sun,0
